9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 912 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 27, Y = -77, Z = -206, qw = 882, qx = -1175, qy = -1063, qz = 16283, gx = 962, gy = -2974, gz = 834

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 175, Y = 103, Z = 106, qw = 4754, qx = -459, qy = -238, qz = -15671, gx = 1989, gy = -26, gz = 983

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 77, Y = -28, Z = 19, qw = 4808, qx = -460, qy = -358, qz = -15652, gx = 1307, gy = -399, gz = 599

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -77, Y = 33, Z = -122, qw = 10958, qx = 1983, qy = -1022, qz = -11974, gx = 43, gy = -77, gz = -317

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -84, Y = 70, Z = -120, qw = 10935, qx = 1992, qy = -1025, qz = -11994, gx = 109, gy = -7, gz = -338

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -101, Y = 83, Z = -104, qw = 10912, qx = 2003, qy = -1024, qz = -12013, gx = 91, gy = 42, gz = -342

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 23, Y = -79, Z = -17, qw = 4837, qx = -498, qy = -272, qz = -15644, gx = -1014, gy = -115, gz = 374

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 14, Y = -62, Z = -28, qw = 4864, qx = -509, qy = -191, qz = -15636, gx = -888, gy = 142, gz = 352

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -27, Y = 41, Z = 85, qw = 4884, qx = -511, qy = -158, qz = -15630, gx = -344, gy = 96, gz = 242

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -113, Y = 85, Z = -86, qw = 10889, qx = 2013, qy = -1014, qz = -12033, gx = 10, gy = 110, gz = -349

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -151, Y = 95, Z = -78, qw = 10868, qx = 2022, qy = -992, qz = -12052, gx = -97, gy = 183, gz = -353

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -145, Y = 112, Z = -76, qw = 10851, qx = 2029, qy = -964, qz = -12069, gx = -170, gy = 216, gz = -305

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = 43, Z = 41, qw = 4909, qx = -524, qy = -202, qz = -15621, gx = 436, gy = -292, gz = 275

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = -36, Z = -50, qw = 4943, qx = -532, qy = -349, qz = -15608, gx = 1566, gy = -579, gz = 356

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -5, Y = -60, Z = -100, qw = 4989, qx = -541, qy = -530, qz = -15588, gx = 1932, gy = -710, gz = 498

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 30, Y = 74, Z = -53, qw = 5022, qx = -561, qy = -650, qz = -15572, gx = 1230, gy = -613, gz = 369

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -2, Y = 21, Z = 28, qw = 5041, qx = -575, qy = -720, qz = -15562, gx = 711, gy = -385, gz = 215

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -37, Y = 27, Z = 0, qw = 5063, qx = -589, qy = -777, qz = -15552, gx = 583, gy = -346, gz = 247

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -117, Y = 142, Z = -111, qw = 10838, qx = 2035, qy = -938, qz = -12081, gx = -169, gy = 213, gz = -238

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = 151, Z = -148, qw = 10830, qx = 2040, qy = -919, qz = -12089, gx = -107, gy = 152, gz = -152

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 4, Y = 147, Z = -155, qw = 10829, qx = 2035, qy = -914, qz = -12091, gx = -79, gy = -10, gz = -25

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -22, Y = 150, Z = -159, qw = 10838, qx = 2024, qy = -917, qz = -12084, gx = -66, gy = -112, gz = 141

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -15, Y = 134, Z = -173, qw = 10857, qx = 2017, qy = -921, qz = -12068, gx = -34, gy = -52, gz = 284

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 26, Y = 112, Z = -116, qw = 10882, qx = 2015, qy = -918, qz = -12046, gx = -63, gy = 37, gz = 373

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -11, Y = 6, Z = -16, qw = 5090, qx = -595, qy = -831, qz = -15540, gx = 572, gy = -233, gz = 313

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -34, Y = -20, Z = 9, qw = 5125, qx = -593, qy = -873, qz = -15526, gx = 485, gy = -118, gz = 402

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -55, Y = -52, Z = 40, qw = 5162, qx = -590, qy = -894, qz = -15512, gx = 258, gy = -27, gz = 430

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -55, Y = -52, Z = 40, qw = 5162, qx = -590, qy = -894, qz = -15512, gx = 258, gy = -27, gz = 430

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 111, Z = -85, qw = 10910, qx = 2016, qy = -905, qz = -12022, gx = -131, gy = 150, gz = 397

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -24, Y = 99, Z = -59, qw = 10941, qx = 2022, qy = -878, qz = -11994, gx = -202, gy = 304, gz = 418

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -37, Y = 82, Z = -25, qw = 10976, qx = 2028, qy = -839, qz = -11964, gx = -313, gy = 392, gz = 454

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -36, Y = -59, Z = 55, qw = 5200, qx = -597, qy = -912, qz = -15499, gx = 196, gy = -114, gz = 442

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -24, Y = -61, Z = 5, qw = 5238, qx = -604, qy = -944, qz = -15484, gx = 344, gy = -173, gz = 448

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -51, Y = -68, Z = -23, qw = 5271, qx = -605, qy = -974, qz = -15470, gx = 334, gy = -105, gz = 385

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -77, Y = 2, Z = 30, qw = 11014, qx = 2027, qy = -791, qz = -11933, gx = -433, gy = 409, gz = 485

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -84, Y = -33, Z = 47, qw = 11055, qx = 2019, qy = -741, qz = -11899, gx = -503, gy = 374, gz = 517

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -73, Y = -73, Z = 38, qw = 11099, qx = 2009, qy = -701, qz = -11862, gx = -448, gy = 284, gz = 596

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -68, Y = -61, Z = -41, qw = 5296, qx = -609, qy = -978, qz = -15462, gx = 52, gy = -50, gz = 294

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -73, Y = -78, Z = -37, qw = 5315, qx = -621, qy = -972, qz = -15455, gx = -82, gy = -88, gz = 239

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -81, Y = -84, Z = -33, qw = 5335, qx = -633, qy = -977, qz = -15447, gx = 28, gy = -138, gz = 238

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = -89, Z = 15, qw = 11148, qx = 2000, qy = -676, qz = -11820, gx = -319, gy = 190, gz = 682

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = -89, Z = 15, qw = 11148, qx = 2000, qy = -676, qz = -11820, gx = -319, gy = 190, gz = 682

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -42, Y = -118, Z = 0, qw = 11197, qx = 1988, qy = -666, qz = -11776, gx = -230, gy = 55, gz = 728

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -35, Y = -131, Z = -11, qw = 11244, qx = 1970, qy = -663, qz = -11734, gx = -207, gy = -54, gz = 705

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -81, Y = -84, Z = -32, qw = 5353, qx = -644, qy = -989, qz = -15440, gx = 96, gy = -149, gz = 215

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -83, Y = -71, Z = -46, qw = 5367, qx = -658, qy = -997, qz = -15434, gx = 52, gy = -173, gz = 180

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -92, Y = -19, Z = -54, qw = 5379, qx = -671, qy = -1002, qz = -15429, gx = 20, gy = -154, gz = 154

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -37, Y = -145, Z = -21, qw = 10794, qx = 1920, qy = -740, qz = -12153, gx = -218, gy = -88, gz = 609

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -44, Y = -155, Z = -13, qw = 10828, qx = 1899, qy = -735, qz = -12126, gx = -237, gy = -93, gz = 489

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -50, Y = -170, Z = -16, qw = 10853, qx = 1876, qy = -730, qz = -12108, gx = -233, gy = -124, gz = 338

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -7, Y = 0, Z = 21, qw = 5396, qx = -680, qy = -1009, qz = -15422, gx = 56, gy = -113, gz = 203

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -3, Y = -15, Z = 40, qw = 5427, qx = -683, qy = -1014, qz = -15410, gx = 72, gy = -43, gz = 371

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 3, Y = -30, Z = 59, qw = 5471, qx = -684, qy = -1026, qz = -15394, gx = 154, gy = -32, gz = 514

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -26, Y = -173, Z = -1, qw = 10865, qx = 1852, qy = -731, qz = -12101, gx = -180, gy = -196, gz = 173

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -16, Y = -151, Z = 3, qw = 10865, qx = 1831, qy = -735, qz = -12103, gx = -131, gy = -213, gz = 3

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -2, Y = -38, Z = 34, qw = 5519, qx = -683, qy = -1048, qz = -15376, gx = 280, gy = -44, gz = 567

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = -55, Z = 39, qw = 5565, qx = -683, qy = -1072, qz = -15357, gx = 294, gy = -75, gz = 539

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -40, Y = -77, Z = 46, qw = 5606, qx = -689, qy = -1089, qz = -15341, gx = 192, gy = -107, gz = 482

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -32, Y = -105, Z = -7, qw = 10354, qx = 1786, qy = -806, qz = -12545, gx = -109, gy = -124, gz = -149

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -28, Y = -81, Z = -11, qw = 10338, qx = 1779, qy = -797, qz = -12560, gx = -110, gy = -30, gz = -250

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -16, Y = -50, Z = -17, qw = 10319, qx = 1777, qy = -787, qz = -12577, gx = -87, gy = 25, gz = -293

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -29, Y = -21, Z = -15, qw = 10296, qx = 1782, qy = -774, qz = -12596, gx = -56, gy = 85, gz = -349

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -41, Y = -95, Z = 47, qw = 5641, qx = -700, qy = -1102, qz = -15327, gx = 121, gy = -145, gz = 420

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -40, Y = -69, Z = 32, qw = 5671, qx = -710, qy = -1115, qz = -15314, gx = 126, gy = -137, gz = 365

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -29, Y = -65, Z = 37, qw = 5696, qx = -715, qy = -1124, qz = -15304, gx = 97, gy = -80, gz = 299

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -44, Y = 20, Z = -6, qw = 10269, qx = 1790, qy = -761, qz = -12617, gx = -36, gy = 115, gz = -402

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -37, Y = 43, Z = 4, qw = 9765, qx = 1772, qy = -814, qz = -13011, gx = -13, gy = 133, gz = -404

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -40, Y = 61, Z = -3, qw = 9738, qx = 1786, qy = -803, qz = -13030, gx = 12, gy = 161, gz = -383

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -23, Y = -63, Z = 30, qw = 5718, qx = -717, qy = -1124, qz = -15296, gx = 19, gy = -9, gz = 268

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -17, Y = -54, Z = 35, qw = 5739, qx = -715, qy = -1103, qz = -15290, gx = -63, gy = 55, gz = 237

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -21, Y = -26, Z = 48, qw = 5752, qx = -711, qy = -1088, qz = -15286, gx = -127, gy = 106, gz = 156

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -45, Y = 67, Z = 0, qw = 9713, qx = 1802, qy = -795, qz = -13046, gx = 61, gy = 157, gz = -353

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -62, Y = 62, Z = 9, qw = 9693, qx = 1820, qy = -786, qz = -13059, gx = 58, gy = 178, gz = -281

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -68, Y = 51, Z = 22, qw = 9677, qx = 1836, qy = -769, qz = -13070, gx = -34, gy = 228, gz = -241

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -11, Y = -19, Z = 56, qw = 5762, qx = -709, qy = -1072, qz = -15283, gx = -149, gy = 89, gz = 118

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 10, Y = 3, Z = 59, qw = 5778, qx = -710, qy = -1065, qz = -15278, gx = -60, gy = 20, gz = 191

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 53, Y = 29, Z = 29, qw = 5807, qx = -707, qy = -1077, qz = -15266, gx = 165, gy = 4, gz = 345

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -89, Y = 37, Z = 47, qw = 9188, qx = 1817, qy = -810, qz = -13419, gx = -136, gy = 213, gz = -248

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -96, Y = 27, Z = 57, qw = 9175, qx = 1820, qy = -792, qz = -13428, gx = -139, gy = 120, gz = -196

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 75, Y = 10, Z = 26, qw = 5847, qx = -695, qy = -1102, qz = -15249, gx = 345, gy = 42, gz = 463

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 79, Y = 0, Z = 28, qw = 5893, qx = -682, qy = -1128, qz = -15231, gx = 366, gy = 55, gz = 522

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 70, Y = -9, Z = 36, qw = 5936, qx = -669, qy = -1144, qz = -15213, gx = 255, gy = 86, gz = 500

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -65, Y = 20, Z = 43, qw = 9167, qx = 1818, qy = -785, qz = -13434, gx = -72, gy = 9, gz = -118

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -57, Y = 17, Z = 38, qw = 9163, qx = 1811, qy = -782, qz = -13438, gx = -67, gy = -58, gz = -59

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -47, Y = -1, Z = 29, qw = 9162, qx = 1800, qy = -774, qz = -13441, gx = -141, gy = -68, gz = -36

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -43, Y = -29, Z = 3, qw = 9162, qx = 1787, qy = -759, qz = -13444, gx = -214, gy = -35, gz = -27

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 32, Y = -51, Z = 43, qw = 5970, qx = -661, qy = -1144, qz = -15200, gx = 59, gy = 104, gz = 405

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 32, Y = -51, Z = 43, qw = 5970, qx = -661, qy = -1144, qz = -15200, gx = 59, gy = 104, gz = 405

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 17, Y = -54, Z = 43, qw = 5995, qx = -658, qy = -1128, qz = -15192, gx = -125, gy = 109, gz = 294

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 5, Y = -59, Z = 48, qw = 6010, qx = -656, qy = -1106, qz = -15187, gx = -213, gy = 118, gz = 187

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -45, Y = -41, Z = -6, qw = 9163, qx = 1777, qy = -741, qz = -13445, gx = -232, gy = 17, gz = -18

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -52, Y = -32, Z = -15, qw = 9165, qx = 1773, qy = -722, qz = -13445, gx = -197, gy = 75, gz = -6

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -63, Y = -18, Z = -13, qw = 9166, qx = 1776, qy = -707, qz = -13445, gx = -124, gy = 115, gz = 8

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = -63, Z = 62, qw = 6016, qx = -658, qy = -1079, qz = -15187, gx = -282, gy = 96, gz = 75

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -39, Y = -88, Z = 64, qw = 6015, qx = -665, qy = -1044, qz = -15190, gx = -386, gy = 64, gz = 7

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -37, Y = -80, Z = 51, qw = 6012, qx = -682, qy = -1007, qz = -15193, gx = -454, gy = -21, gz = -19

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -34, Y = -69, Z = 2, qw = 6006, qx = -703, qy = -979, qz = -15196, gx = -372, gy = -109, gz = -45

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -6, Y = -38, Z = -111, qw = 5998, qx = -720, qy = -967, qz = -15199, gx = -194, gy = -138, gz = -73

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -28, Z = -148, qw = 5989, qx = -731, qy = -963, qz = -15202, gx = -90, gy = -103, gz = -100

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = 15, Z = -2, qw = 9167, qx = 1781, qy = -698, qz = -13444, gx = -51, gy = 99, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -60, Y = 15, Z = 6, qw = 9167, qx = 1784, qy = -693, qz = -13444, gx = -19, gy = 53, gz = 3

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -53, Y = 24, Z = 16, qw = 9169, qx = 1785, qy = -691, qz = -13442, gx = -12, gy = 15, gz = 23

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -41, Y = 27, Z = 17, qw = 9173, qx = 1784, qy = -689, qz = -13440, gx = -35, gy = 2, gz = 52

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -51, Y = -10, Z = -7, qw = 9179, qx = 1780, qy = -682, qz = -13437, gx = -88, gy = 12, gz = 67

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -51, Y = -10, Z = -7, qw = 9179, qx = 1780, qy = -682, qz = -13437, gx = -88, gy = 12, gz = 67

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -65, Y = -42, Z = -21, qw = 9186, qx = 1777, qy = -672, qz = -13433, gx = -118, gy = 29, gz = 83

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = 3, Y = -27, Z = -153, qw = 5979, qx = -738, qy = -954, qz = -15206, gx = -118, gy = -34, gz = -119

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -6, Y = -32, Z = -141, qw = 5965, qx = -736, qy = -935, qz = -15213, gx = -196, gy = 86, gz = -155

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -44, Y = -78, Z = -60, qw = 5951, qx = -722, qy = -908, qz = -15221, gx = -234, gy = 245, gz = -180

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -67, Y = -64, Z = -29, qw = 9197, qx = 1777, qy = -663, qz = -13426, gx = -94, gy = 68, gz = 124

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -53, Y = -94, Z = -32, qw = 5936, qx = -700, qy = -875, qz = -15230, gx = -261, gy = 354, gz = -188

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 2, gyro 3, accel 1, mag 3 Linear Accel X = -45, Y = -95, Z = -18, qw = 5919, qx = -675, qy = -841, qz = -15239, gx = -266, gy = 392, gz = -213

