9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -59, Y = -23, Z = -6, qw = 9165, qx = 1842, qy = -846, qz = -13429, gx = 371, gy = 254, gz = 6

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -416, Y = -111, Z = -73, qw = 16265, qx = 135, qy = -880, qz = 1754, gx = 40, gy = 424, gz = 1302

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -70, Y = 192, Z = -92, qw = 2901, qx = -3131, qy = 23, qz = -15818, gx = 204, gy = 287, gz = -833

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -61, Y = 296, Z = -86, qw = 2838, qx = -3106, qy = 12, qz = -15835, gx = 31, gy = 281, gz = -733

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -53, Y = 320, Z = -70, qw = 2793, qx = -3077, qy = 30, qz = -15848, gx = -230, gy = 376, gz = -474

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -244, Y = -160, Z = -31, qw = 16258, qx = 129, qy = -844, qz = 1837, gx = 34, gy = 405, gz = 931

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -192, Y = -165, Z = -38, qw = 16253, qx = 121, qy = -804, qz = 1905, gx = 4, gy = 447, gz = 758

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -173, Y = -162, Z = -60, qw = 16247, qx = 116, qy = -762, qz = 1965, gx = 28, gy = 471, gz = 679

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -58, Y = 345, Z = -44, qw = 2770, qx = -3044, qy = 75, qz = -15858, gx = -474, gy = 463, gz = -171

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -38, Y = 225, Z = 20, qw = 2765, qx = -3008, qy = 132, qz = -15866, gx = -559, gy = 513, gz = 53

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 31, Y = 142, Z = 85, qw = 2777, qx = -2973, qy = 184, qz = -15870, gx = -476, gy = 490, gz = 236

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -170, Y = -168, Z = -92, qw = 16243, qx = 128, qy = -724, qz = 2018, gx = 213, gy = 407, gz = 578

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -92, Y = -121, Z = 14, qw = 16238, qx = 170, qy = -698, qz = 2063, gx = 516, gy = 222, gz = 493

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = -65, Z = 118, qw = 16232, qx = 228, qy = -680, qz = 2111, gx = 691, gy = 110, gz = 507

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 38, Y = 138, Z = 69, qw = 2786, qx = -2942, qy = 208, qz = -15874, gx = -187, gy = 379, gz = 141

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 43, Y = 143, Z = 34, qw = 2787, qx = -2919, qy = 191, qz = -15878, gx = 227, gy = 221, gz = -26

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 16, Y = 201, Z = -29, qw = 2778, qx = -2910, qy = 139, qz = -15882, gx = 563, gy = 10, gz = -211

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -69, Y = -46, Z = 182, qw = 16225, qx = 275, qy = -667, qz = 2159, gx = 569, gy = 80, gz = 518

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -131, Y = -76, Z = 163, qw = 16219, qx = 299, qy = -659, qz = 2200, gx = 296, gy = 47, gz = 448

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -133, Y = -93, Z = 118, qw = 16215, qx = 306, qy = -664, qz = 2227, gx = 73, gy = -70, gz = 301

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = 195, Z = -44, qw = 2759, qx = -2908, qy = 74, qz = -15886, gx = 668, gy = -89, gz = -342

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -11, Y = 181, Z = -37, qw = 2739, qx = -2902, qy = 18, qz = -15890, gx = 576, gy = -41, gz = -333

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = 162, Z = -37, qw = 2725, qx = -2891, qy = -26, qz = -15895, gx = 463, gy = 47, gz = -251

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -109, Y = -69, Z = 98, qw = 16213, qx = 304, qy = -680, qz = 2241, gx = -37, gy = -173, gz = 163

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -88, Y = -48, Z = 74, qw = 16211, qx = 290, qy = -700, qz = 2247, gx = -183, gy = -210, gz = 84

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 0 devices:
9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -48, Y = -34, Z = 0, qw = 16210, qx = 262, qy = -726, qz = 2252, gx = -346, gy = -253, gz = 79

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -7, Y = 129, Z = -40, qw = 2717, qx = -2881, qy = -68, qz = -15898, gx = 450, gy = 34, gz = -169

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -42, Y = -38, Z = -43, qw = 16208, qx = 222, qy = -758, qz = 2263, gx = -482, gy = -297, gz = 145

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -71, Y = -41, Z = -65, qw = 16204, qx = 176, qy = -793, qz = 2282, gx = -554, gy = -321, gz = 249

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -71, Y = -41, Z = -65, qw = 16204, qx = 176, qy = -793, qz = 2282, gx = -554, gy = -321, gz = 249

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -9, Y = 99, Z = -45, qw = 2725, qx = -2861, qy = -163, qz = -15900, gx = 560, gy = 20, gz = -17

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -18, Y = 73, Z = -44, qw = 2734, qx = -2854, qy = -205, qz = -15899, gx = 477, gy = -4, gz = 11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -45, Y = 23, Z = -35, qw = 2742, qx = -2853, qy = -236, qz = -15897, gx = 359, gy = -46, gz = 29

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -72, Y = 1, Z = -27, qw = 2751, qx = -2854, qy = -263, qz = -15895, gx = 299, gy = -66, gz = 52

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -111, Y = -13, Z = -72, qw = 16200, qx = 124, qy = -825, qz = 2304, gx = -609, gy = -280, gz = 275

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -110, Y = 53, Z = -98, qw = 16197, qx = 59, qy = -848, qz = 2318, gx = -750, gy = -159, gz = 199

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -81, Y = 74, Z = -156, qw = 16196, qx = -20, qy = -861, qz = 2321, gx = -895, gy = -27, gz = 83

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -92, Y = -10, Z = -17, qw = 2764, qx = -2849, qy = -287, qz = -15893, gx = 292, gy = -6, gz = 108

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -105, Y = -92, Z = 39, qw = 2786, qx = -2841, qy = -303, qz = -15891, gx = 223, gy = 62, gz = 209

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -113, Y = -125, Z = 66, qw = 2814, qx = -2827, qy = -307, qz = -15888, gx = 118, gy = 134, gz = 301

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -20, Y = 89, Z = -202, qw = 16196, qx = -103, qy = -868, qz = 2317, gx = -933, gy = 56, gz = 5

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 48, Y = 117, Z = -257, qw = 16195, qx = -177, qy = -869, qz = 2316, gx = -819, gy = 98, gz = 40

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 136, Y = 117, Z = -276, qw = 16192, qx = -234, qy = -869, qz = 2331, gx = -623, gy = 72, gz = 197

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 129, Y = 125, Z = -263, qw = 16186, qx = -278, qy = -867, qz = 2368, gx = -459, gy = 82, gz = 451

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -122, Y = -155, Z = 75, qw = 2844, qx = -2814, qy = -310, qz = -15885, gx = 115, gy = 136, gz = 321

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -130, Y = -187, Z = 67, qw = 2870, qx = -2808, qy = -325, qz = -15881, gx = 222, gy = 29, gz = 261

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -135, Y = -181, Z = -46, qw = 2889, qx = -2815, qy = -360, qz = -15876, gx = 402, gy = -152, gz = 155

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 89, Y = 118, Z = -284, qw = 16178, qx = -311, qy = -857, qz = 2427, gx = -323, gy = 135, gz = 683

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 73, Z = -281, qw = 16167, qx = -329, qy = -842, qz = 2497, gx = -136, gy = 171, gz = 811

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -18, Y = 55, Z = -274, qw = 16157, qx = -330, qy = -823, qz = 2572, gx = 64, gy = 187, gz = 848

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -135, Y = -181, Z = -46, qw = 2889, qx = -2815, qy = -360, qz = -15876, gx = 402, gy = -152, gz = 155

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -121, Y = -139, Z = -112, qw = 2901, qx = -2836, qy = -419, qz = -15868, gx = 619, gy = -360, gz = 29

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -129, Y = -109, Z = -174, qw = 2904, qx = -2864, qy = -494, qz = -15861, gx = 760, gy = -459, gz = -84

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -137, Y = -58, Z = -186, qw = 2903, qx = -2879, qy = -560, qz = -15856, gx = 683, gy = -306, gz = -125

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -28, Y = 35, Z = -254, qw = 16146, qx = -312, qy = -802, qz = 2648, gx = 278, gy = 168, gz = 851

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -25, Y = 27, Z = -206, qw = 16135, qx = -271, qy = -782, qz = 2725, gx = 519, gy = 117, gz = 855

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -9, Y = 76, Z = -27, qw = 16123, qx = -216, qy = -763, qz = 2805, gx = 683, gy = 84, gz = 872

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -148, Y = -86, Z = -140, qw = 2901, qx = -2874, qy = -594, qz = -15856, gx = 375, gy = -19, gz = -85

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -127, Y = -129, Z = -71, qw = 2897, qx = -2855, qy = -585, qz = -15860, gx = -72, gy = 223, gz = -46

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -119, Y = -161, Z = -16, qw = 2891, qx = -2835, qy = -543, qz = -15866, gx = -432, gy = 305, gz = -5

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -94, Y = 122, Z = 19, qw = 16111, qx = -167, qy = -740, qz = 2883, gx = 623, gy = 139, gz = 863

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -36, Y = 80, Z = 41, qw = 16100, qx = -138, qy = -722, qz = 2947, gx = 380, gy = 117, gz = 715

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 80, Y = 0, Z = 58, qw = 16089, qx = -135, qy = -711, qz = 3011, gx = 89, gy = 107, gz = 724

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -98, Y = -154, Z = 19, qw = 2879, qx = -2818, qy = -496, qz = -15873, gx = -498, gy = 285, gz = -55

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -85, Y = -120, Z = -3, qw = 2858, qx = -2808, qy = -474, qz = -15879, gx = -266, gy = 161, gz = -200

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -76, Y = -80, Z = -49, qw = 2828, qx = -2805, qy = -482, qz = -15885, gx = 41, gy = 12, gz = -358

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 22, Y = -24, Z = -56, qw = 16073, qx = -151, qy = -694, qz = 3095, gx = -106, gy = 201, gz = 961

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -31, Y = -36, Z = -94, qw = 16055, qx = -168, qy = -679, qz = 3189, gx = -113, gy = 175, gz = 1084

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -44, Y = -56, Z = -74, qw = 16037, qx = -175, qy = -673, qz = 3284, gx = -26, gy = 58, gz = 1084

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -75, Y = -42, Z = -111, qw = 2789, qx = -2810, qy = -512, qz = -15890, gx = 234, gy = -119, gz = -488

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -84, Y = 66, Z = -195, qw = 2744, qx = -2821, qy = -550, qz = -15895, gx = 296, gy = -208, gz = -565

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -84, Y = 90, Z = -197, qw = 2695, qx = -2828, qy = -580, qz = -15901, gx = 223, gy = -135, gz = -600

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -61, Y = -66, Z = -51, qw = 16017, qx = -180, qy = -668, qz = 3380, gx = 5, gy = 38, gz = 1100

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -155, Y = -88, Z = -15, qw = 15997, qx = -188, qy = -661, qz = 3471, gx = -40, gy = 69, gz = 1049

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -173, Y = -97, Z = -25, qw = 15981, qx = -208, qy = -652, qz = 3547, gx = -170, gy = 121, gz = 880

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -82, Y = 102, Z = -168, qw = 2644, qx = -2827, qy = -592, qz = -15909, gx = 28, gy = -17, gz = -586

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -81, Y = 80, Z = -91, qw = 2597, qx = -2814, qy = -577, qz = -15920, gx = -233, gy = 156, gz = -515

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -78, Y = 78, Z = -71, qw = 2554, qx = -2790, qy = -542, qz = -15932, gx = -432, gy = 329, gz = -425

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -58, Y = 81, Z = -48, qw = 2518, qx = -2766, qy = -498, qz = -15943, gx = -504, gy = 342, gz = -336

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -40, Y = 84, Z = -32, qw = 2489, qx = -2743, qy = -452, qz = -15953, gx = -524, gy = 337, gz = -250

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 8, Y = 48, Z = 29, qw = 2466, qx = -2718, qy = -406, qz = -15963, gx = -502, gy = 360, gz = -193

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = 57, Z = 34, qw = 2441, qx = -2690, qy = -368, qz = -15972, gx = -424, gy = 379, gz = -220

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -6, Y = 75, Z = 48, qw = 2411, qx = -2663, qy = -342, qz = -15982, gx = -295, gy = 346, gz = -302

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -19, Y = 95, Z = 64, qw = 2374, qx = -2642, qy = -327, qz = -15991, gx = -200, gy = 251, gz = -393

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -158, Y = -123, Z = -55, qw = 15967, qx = -242, qy = -647, qz = 3605, gx = -325, gy = 119, gz = 684

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -141, Y = -146, Z = -122, qw = 15957, qx = -279, qy = -645, qz = 3651, gx = -390, gy = 102, gz = 538

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -131, Y = -182, Z = -222, qw = 15948, qx = -308, qy = -645, qz = 3688, gx = -295, gy = 52, gz = 435

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -118, Y = -181, Z = -229, qw = 15941, qx = -314, qy = -643, qz = 3717, gx = -52, gy = 20, gz = 341

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -97, Y = -168, Z = -189, qw = 15936, qx = -296, qy = -638, qz = 3740, gx = 214, gy = 4, gz = 256

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -72, Y = -126, Z = -70, qw = 15932, qx = -263, qy = -631, qz = 3758, gx = 383, gy = -18, gz = 194

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -61, Y = -130, Z = -25, qw = 15930, qx = -226, qy = -628, qz = 3772, gx = 417, gy = -68, gz = 135

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -49, Y = 115, Z = 79, qw = 2335, qx = -2627, qy = -315, qz = -16000, gx = -178, gy = 192, gz = -427

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -50, Y = 124, Z = 74, qw = 2298, qx = -2615, qy = -306, qz = -16007, gx = -154, gy = 147, gz = -399

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -36, Y = 142, Z = 60, qw = 2267, qx = -2610, qy = -303, qz = -16012, gx = -74, gy = 61, gz = -345

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -61, Y = -130, Z = -25, qw = 15930, qx = -226, qy = -628, qz = 3772, gx = 417, gy = -68, gz = 135

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -58, Y = -130, Z = 9, qw = 15928, qx = -191, qy = -628, qz = 3782, gx = 390, gy = -99, gz = 105

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = -120, Z = 43, qw = 15926, qx = -162, qy = -631, qz = 3789, gx = 312, gy = -114, gz = 68

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -62, Y = -125, Z = 55, qw = 15926, qx = -146, qy = -636, qz = 3791, gx = 155, gy = -99, gz = 12

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -64, Y = -127, Z = 33, qw = 15926, qx = -145, qy = -641, qz = 3788, gx = -8, gy = -66, gz = -35

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -77, Y = -118, Z = 8, qw = 15928, qx = -155, qy = -646, qz = 3781, gx = -123, gy = -31, gz = -81

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 5, Y = 173, Z = 23, qw = 2244, qx = -2612, qy = -310, qz = -16015, gx = 26, gy = -40, gz = -267

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 15, Y = 157, Z = 19, qw = 2230, qx = -2618, qy = -319, qz = -16016, gx = 55, gy = -84, gz = -167

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 1, Y = 127, Z = 10, qw = 2222, qx = -2624, qy = -324, qz = -16016, gx = 37, gy = -75, gz = -100

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -101, Y = -105, Z = -22, qw = 15931, qx = -173, qy = -648, qz = 3766, gx = -202, gy = 16, gz = -158

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -45, Y = -95, Z = -80, qw = 15936, qx = -191, qy = -650, qz = 3743, gx = -212, gy = 33, gz = -263

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -85, Z = -77, qw = 15943, qx = -205, qy = -651, qz = 3715, gx = -162, gy = 20, gz = -313

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 1, Y = 127, Z = 10, qw = 2222, qx = -2624, qy = -324, qz = -16016, gx = 37, gy = -75, gz = -100

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = 100, Z = -1, qw = 2217, qx = -2629, qy = -328, qz = -16016, gx = 17, gy = -71, gz = -52

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -33, Y = 56, Z = -16, qw = 2217, qx = -2638, qy = -329, qz = -16014, gx = 3, gy = -108, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -34, Y = 45, Z = -15, qw = 2218, qx = -2646, qy = -329, qz = -16013, gx = -14, gy = -91, gz = 14

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = -87, Z = -61, qw = 15949, qx = -215, qy = -652, qz = 3687, gx = -117, gy = 14, gz = -310

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 47, Y = -80, Z = -33, qw = 15953, qx = -224, qy = -654, qz = 3667, gx = -116, gy = 9, gz = -230

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 31, Y = -79, Z = -21, qw = 15956, qx = -240, qy = -652, qz = 3656, gx = -164, gy = 49, gz = -123

