AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = 16, Z = 3, qw = 2833, qx = 453, qy = -283, qz = -16128, gx = 0, gy = 16, gz = -11

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 29, Y = 35, Z = -31, qw = 15789, qx = 892, qy = -791, qz = 4211, gx = -38, gy = -131, gz = -199

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 75, Y = 6, Z = 8, qw = 9492, qx = -65, qy = -227, qz = 13352, gx = 95, gy = 8, gz = -369

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 25, Y = 23, Z = -46, qw = 15793, qx = 891, qy = -799, qz = 4195, gx = -52, gy = -91, gz = -179

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 23, Y = 13, Z = -58, qw = 15797, qx = 888, qy = -802, qz = 4179, gx = -68, gy = -30, gz = -184

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 24, Y = 11, Z = -59, qw = 15804, qx = 876, qy = -795, qz = 4157, gx = -133, gy = 102, gz = -252

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 69, Y = 0, Z = 20, qw = 9517, qx = -47, qy = -228, qz = 13334, gx = 100, gy = 5, gz = -344

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 364 mm

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 57, Y = -7, Z = 38, qw = 9540, qx = -43, qy = -222, qz = 13318, gx = 79, gy = 16, gz = -314

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 36, Y = -13, Z = 63, qw = 9541, qx = -41, qy = -217, qz = 13318, gx = 53, gy = 24, gz = -293

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 30, Y = -9, Z = 63, qw = 9562, qx = -42, qy = -213, qz = 13302, gx = 29, gy = 31, gz = -292

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 23, Y = -3, Z = 54, qw = 9584, qx = -45, qy = -211, qz = 13286, gx = -1, gy = 54, gz = -306

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 10, Y = 8, Z = 47, qw = 9607, qx = -54, qy = -208, qz = 13270, gx = -33, gy = 102, gz = -313

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = 20, Z = 54, qw = 9629, qx = -65, qy = -204, qz = 13254, gx = -36, gy = 136, gz = -298

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -20, Y = 23, Z = 73, qw = 9622, qx = -75, qy = -197, qz = 13259, gx = 4, gy = 138, gz = -262

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 17, Y = 30, Z = -49, qw = 15810, qx = 864, qy = -787, qz = 4135, gx = -133, gy = 102, gz = -252

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 8, Y = 41, Z = -32, qw = 15818, qx = 847, qy = -778, qz = 4110, gx = -175, gy = 134, gz = -287

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = -3, Y = 51, Z = -12, qw = 15826, qx = 828, qy = -769, qz = 4085, gx = -213, gy = 142, gz = -290

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -20, Y = 23, Z = 73, qw = 9622, qx = -75, qy = -197, qz = 13259, gx = 4, gy = 138, gz = -262

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -19, Y = 24, Z = 99, qw = 9638, qx = -80, qy = -187, qz = 13248, gx = 56, gy = 113, gz = -221

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -21, Y = 22, Z = 119, qw = 9652, qx = -80, qy = -176, qz = 13238, gx = 89, gy = 83, gz = -190

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -27, Y = 10, Z = 126, qw = 9664, qx = -81, qy = -169, qz = 13229, gx = 60, gy = 60, gz = -166

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -27, Y = 9, Z = 102, qw = 9676, qx = -85, qy = -168, qz = 13220, gx = -16, gy = 44, gz = -163

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -25, Y = 15, Z = 66, qw = 9662, qx = -94, qy = -174, qz = 13231, gx = -112, gy = 40, gz = -173

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = -8, Y = 54, Z = 9, qw = 15833, qx = 806, qy = -761, qz = 4063, gx = -237, gy = 139, gz = -247

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 9, Y = 24, Z = 41, qw = 15836, qx = 784, qy = -753, qz = 4060, gx = -221, gy = 148, gz = -29

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 19, Y = -8, Z = 54, qw = 15838, qx = 763, qy = -745, qz = 4057, gx = -221, gy = 148, gz = -29

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -46, Y = 19, Z = -14, qw = 9674, qx = -108, qy = -185, qz = 13221, gx = -192, gy = 59, gz = -178

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -56, Y = 12, Z = -40, qw = 9686, qx = -124, qy = -198, qz = 13212, gx = -219, gy = 70, gz = -163

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -65, Y = -1, Z = -46, qw = 9696, qx = -140, qy = -207, qz = 13204, gx = -188, gy = 90, gz = -139

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 21, Y = -49, Z = 59, qw = 15838, qx = 744, qy = -737, qz = 4061, gx = -182, gy = 133, gz = 46

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = 14, Y = -77, Z = 65, qw = 15838, qx = 730, qy = -729, qz = 4065, gx = -133, gy = 123, gz = 50

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = -23, Y = -116, Z = 77, qw = 15839, qx = 722, qy = -721, qz = 4065, gx = -77, gy = 114, gz = -5

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = -37, Y = -117, Z = 82, qw = 15843, qx = 719, qy = -711, qz = 4052, gx = -14, gy = 117, gz = -166

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = -40, Y = -107, Z = 74, qw = 15847, qx = 717, qy = -700, qz = 4038, gx = -14, gy = 117, gz = -166

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 0 Linear Accel X = -29, Y = -87, Z = 46, qw = 15852, qx = 717, qy = -695, qz = 4021, gx = -1, gy = 41, gz = -194

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -23, Y = -81, Z = 22, qw = 15855, qx = 718, qy = -696, qz = 4006, gx = 8, gy = -10, gz = -171

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -18, Y = -77, Z = -7, qw = 15858, qx = 723, qy = -699, qz = 3994, gx = 25, gy = -58, gz = -134

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -9, Y = -77, Z = -41, qw = 15860, qx = 729, qy = -705, qz = 3984, gx = 43, gy = -86, gz = -118

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -67, Y = -14, Z = -47, qw = 9705, qx = -153, qy = -208, qz = 13198, gx = -96, gy = 103, gz = -128

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -54, Y = -33, Z = -11, qw = 9711, qx = -159, qy = -202, qz = 13193, gx = 18, gy = 100, gz = -126

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -43, Y = -34, Z = 10, qw = 9721, qx = -159, qy = -190, qz = 13186, gx = 109, gy = 82, gz = -140

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -39, Y = -41, Z = 23, qw = 9733, qx = -156, qy = -176, qz = 13177, gx = 141, gy = 65, gz = -167

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -41, Y = -49, Z = 27, qw = 9748, qx = -152, qy = -165, qz = 13166, gx = 130, gy = 49, gz = -206

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -52, Y = -45, Z = 8, qw = 9767, qx = -150, qy = -156, qz = 13153, gx = 94, gy = 39, gz = -254

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -59, Y = -43, Z = -7, qw = 9762, qx = -150, qy = -151, qz = 13156, gx = 40, gy = 47, gz = -300

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -63, Y = -41, Z = -23, qw = 9788, qx = -155, qy = -148, qz = 13137, gx = -5, gy = 61, gz = -356

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -72, Z = -91, qw = 15862, qx = 738, qy = -712, qz = 3973, gx = 65, gy = -98, gz = -124

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -65, Z = -113, qw = 15864, qx = 747, qy = -717, qz = 3961, gx = 75, gy = -92, gz = -129

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -10, Y = -64, Z = -121, qw = 15867, qx = 757, qy = -721, qz = 3948, gx = 80, gy = -75, gz = -156

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -62, Y = 12, Z = -29, qw = 9847, qx = -162, qy = -142, qz = 13093, gx = 17, gy = 52, gz = -425

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -55, Y = 32, Z = -21, qw = 9878, qx = -161, qy = -136, qz = 13070, gx = 61, gy = 36, gz = -434

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -52, Y = 46, Z = -9, qw = 9879, qx = -157, qy = -129, qz = 13069, gx = 92, gy = 24, gz = -427

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -26, Y = -55, Z = -123, qw = 15870, qx = 765, qy = -722, qz = 3932, gx = 66, gy = -36, gz = -183

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -45, Y = -35, Z = -96, qw = 15874, qx = 769, qy = -719, qz = 3917, gx = 42, gy = 17, gz = -181

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -42, Y = -24, Z = -72, qw = 15877, qx = 771, qy = -714, qz = 3905, gx = 20, gy = 48, gz = -142

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -53, Y = 66, Z = 3, qw = 9908, qx = -151, qy = -122, qz = 13047, gx = 114, gy = 6, gz = -406

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -51, Y = 69, Z = 8, qw = 9934, qx = -144, qy = -113, qz = 13027, gx = 118, gy = 0, gz = -367

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -49, Y = 62, Z = 14, qw = 9957, qx = -140, qy = -106, qz = 13010, gx = 95, gy = 12, gz = -321

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -36, Y = -30, Z = -50, qw = 15879, qx = 771, qy = -707, qz = 3897, gx = 14, gy = 62, gz = -93

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -30, Y = -40, Z = -28, qw = 15880, qx = 773, qy = -701, qz = 3894, gx = 26, gy = 64, gz = -38

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -13, Y = -61, Z = 1, qw = 15880, qx = 776, qy = -694, qz = 3894, gx = 48, gy = 68, gz = 1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = -78, Z = 11, qw = 15880, qx = 780, qy = -686, qz = 3896, gx = 68, gy = 77, gz = 12

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = -88, Z = 19, qw = 15880, qx = 786, qy = -678, qz = 3896, gx = 84, gy = 70, gz = 5

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 19, Y = -91, Z = 24, qw = 15880, qx = 793, qy = -671, qz = 3895, gx = 87, gy = 48, gz = -21

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -48, Y = 33, Z = 4, qw = 9977, qx = -141, qy = -101, qz = 12995, gx = 45, gy = 44, gz = -275

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -52, Y = 12, Z = -2, qw = 9969, qx = -146, qy = -97, qz = 13001, gx = -7, gy = 84, gz = -234

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -46, Y = -10, Z = -6, qw = 9985, qx = -155, qy = -94, qz = 12989, gx = -35, gy = 90, gz = -219

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -40, Y = -21, Z = -24, qw = 10001, qx = -164, qy = -92, qz = 12976, gx = -43, gy = 101, gz = -225

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -19, Y = -23, Z = -34, qw = 10019, qx = -171, qy = -89, qz = 12962, gx = -21, gy = 88, gz = -256

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = -11, Z = -42, qw = 10039, qx = -175, qy = -84, qz = 12946, gx = 19, gy = 61, gz = -290

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 30, Y = -99, Z = 23, qw = 15881, qx = 801, qy = -667, qz = 3889, gx = 85, gy = 19, gz = -70

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 30, Y = -95, Z = 18, qw = 15883, qx = 809, qy = -666, qz = 3880, gx = 87, gy = -12, gz = -109

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = -7, Z = -49, qw = 10045, qx = -176, qy = -79, qz = 12942, gx = 46, gy = 50, gz = -313

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 22, Y = -1, Z = -56, qw = 10068, qx = -176, qy = -71, qz = 12924, gx = 63, gy = 58, gz = -321

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 34, Y = 4, Z = -54, qw = 10090, qx = -176, qy = -63, qz = 12907, gx = 82, gy = 58, gz = -309

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 28, Y = -89, Z = 7, qw = 15886, qx = 818, qy = -666, qz = 3868, gx = 90, gy = -35, gz = -137

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 29, Y = -74, Z = -15, qw = 15888, qx = 828, qy = -667, qz = 3855, gx = 91, gy = -36, gz = -151

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 38, Y = -68, Z = -23, qw = 15891, qx = 838, qy = -666, qz = 3842, gx = 100, gy = -24, gz = -152

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 49, Y = -66, Z = -30, qw = 15893, qx = 849, qy = -665, qz = 3830, gx = 116, gy = -21, gz = -146

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 56, Y = -69, Z = -39, qw = 15896, qx = 861, qy = -663, qz = 3818, gx = 128, gy = -23, gz = -139

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 72, Y = -64, Z = -76, qw = 15898, qx = 874, qy = -663, qz = 3808, gx = 132, gy = -30, gz = -124

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 79, Y = -59, Z = -97, qw = 15899, qx = 885, qy = -663, qz = 3798, gx = 114, gy = -43, gz = -114

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 37, Y = 6, Z = -48, qw = 10110, qx = -173, qy = -52, qz = 12891, gx = 108, gy = 53, gz = -286

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 39, Y = 2, Z = -42, qw = 10129, qx = -171, qy = -41, qz = 12877, gx = 114, gy = 57, gz = -264

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 36, Y = -8, Z = -25, qw = 10131, qx = -169, qy = -31, qz = 12875, gx = 108, gy = 50, gz = -240

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 36, Y = -14, Z = -21, qw = 10146, qx = -167, qy = -22, qz = 12863, gx = 96, gy = 45, gz = -216

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 33, Y = -19, Z = -23, qw = 10162, qx = -163, qy = -19, qz = 12851, gx = 74, gy = 33, gz = -226

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 29, Y = -18, Z = -35, qw = 10179, qx = -161, qy = -18, qz = 12837, gx = 42, gy = 25, gz = -239

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 82, Y = -58, Z = -115, qw = 15901, qx = 894, qy = -667, qz = 3788, gx = 79, gy = -64, gz = -114

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 87, Y = -62, Z = -127, qw = 15903, qx = 900, qy = -672, qz = 3778, gx = 42, gy = -70, gz = -121

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 89, Y = -48, Z = -139, qw = 15906, qx = 902, qy = -677, qz = 3764, gx = 5, gy = -70, gz = -151

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 32, Y = 2, Z = -56, qw = 10196, qx = -158, qy = -18, qz = 12823, gx = 21, gy = 0, gz = -250

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 31, Y = 11, Z = -74, qw = 10210, qx = -156, qy = -19, qz = 12813, gx = 15, gy = -26, gz = -256

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 26, Y = 15, Z = -92, qw = 10228, qx = -153, qy = -20, qz = 12799, gx = 13, gy = -33, gz = -248

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 87, Y = -40, Z = -131, qw = 15910, qx = 901, qy = -681, qz = 3747, gx = -31, gy = -55, gz = -193

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 82, Y = -29, Z = -116, qw = 15914, qx = 898, qy = -686, qz = 3727, gx = -61, gy = -45, gz = -222

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 81, Y = -12, Z = -104, qw = 15920, qx = 893, qy = -689, qz = 3706, gx = -72, gy = -31, gz = -244

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 17, Y = 20, Z = -102, qw = 10243, qx = -148, qy = -21, qz = 12787, gx = 26, gy = -37, gz = -218

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 17, Z = -89, qw = 10255, qx = -142, qy = -19, qz = 12777, gx = 57, gy = -41, gz = -173

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 150 mm

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 9, Z = -76, qw = 10264, qx = -135, qy = -15, qz = 12770, gx = 91, gy = -32, gz = -120

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 71, Y = 6, Z = -79, qw = 15925, qx = 888, qy = -692, qz = 3684, gx = -72, gy = -31, gz = -244

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 68, Y = 20, Z = -73, qw = 15929, qx = 885, qy = -695, qz = 3665, gx = -57, gy = -37, gz = -217

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 150 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 65, Y = 25, Z = -72, qw = 15933, qx = 883, qy = -698, qz = 3649, gx = -42, gy = -29, gz = -180

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -2, Z = -55, qw = 10256, qx = -128, qy = -7, qz = 12776, gx = 118, gy = -12, gz = -77

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -2, Z = -55, qw = 10256, qx = -128, qy = -7, qz = 12776, gx = 118, gy = -12, gz = -77

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -4, Y = -34, Z = -16, qw = 10259, qx = -121, qy = 1, qz = 12774, gx = 124, gy = -2, gz = -40

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = -42, Z = 2, qw = 10260, qx = -114, qy = 10, qz = 12773, gx = 119, gy = -3, gz = -20

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 74, Y = 28, Z = -75, qw = 15936, qx = 882, qy = -699, qz = 3636, gx = -18, gy = -18, gz = -140

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 77, Y = 26, Z = -80, qw = 15938, qx = 884, qy = -699, qz = 3625, gx = 14, gy = -5, gz = -124

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 75, Y = 24, Z = -82, qw = 15940, qx = 888, qy = -697, qz = 3615, gx = 43, gy = 4, gz = -124

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -2, Y = -48, Z = 16, qw = 10261, qx = -108, qy = 17, qz = 12772, gx = 100, gy = -4, gz = -17

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = -52, Z = 28, qw = 10264, qx = -105, qy = 21, qz = 12770, gx = 59, gy = 0, gz = -30

